0,1,2,3,4,5,6,7,8,9,target
10,16,7,6,0,8,3,9,12,2,0
9,12,6,6,1,6,7,7,14,3,0
13,17,5,11,4,6,8,7,25,3,0
9,14,5,13,3,4,6,7,24,0,0
7,14,4,8,0,7,6,7,16,2,0
10,15,2,6,5,12,10,5,11,7,0
8,13,3,4,0,11,7,1,11,1,0
8,9,5,6,3,8,8,6,16,4,0
9,15,10,9,4,4,5,11,14,1,0
9,9,6,6,6,16,6,2,19,5,0
9,16,3,3,2,16,13,6,14,2,0
3,12,8,7,4,10,3,2,8,5,0
8,15,7,12,1,15,6,2,12,4,0
10,5,5,4,4,5,9,2,9,1,0
6,14,2,7,1,19,6,3,12,2,0
7,13,1,11,2,16,10,8,9,0,0
3,13,5,2,5,10,7,7,13,1,0
8,12,3,5,1,10,7,8,10,1,0
8,12,3,5,7,21,8,7,9,3,0
8,11,5,13,2,20,8,6,14,6,0
8,5,6,2,4,10,7,5,15,0,0
8,10,2,6,3,11,7,2,14,2,0
9,11,5,3,3,11,9,6,12,1,0
9,14,2,10,0,13,9,5,9,4,0
6,14,1,15,7,12,8,11,17,11,0
17,32,17,42,24,26,12,45,10,11,0
16,15,10,20,7,15,16,8,9,23,0
9,11,11,23,14,13,7,5,15,28,0
8,10,6,17,4,10,5,12,12,16,0
16,31,10,26,11,11,12,19,24,15,0
10,10,9,21,8,7,6,14,19,5,0
10,13,9,18,10,9,8,19,9,15,0
19,19,22,35,16,6,20,27,26,11,0
10,9,5,20,7,8,7,19,13,2,0
13,23,22,19,10,33,15,23,4,6,0
8,6,13,4,2,8,4,4,14,7,0
10,6,7,7,1,7,9,7,18,4,0
6,8,14,7,3,10,10,7,9,11,0
10,17,12,28,9,16,9,9,9,23,0
9,20,11,27,4,13,8,5,9,15,0
8,14,4,27,15,16,19,10,8,8,0
12,15,16,24,15,13,14,5,13,13,0
19,13,12,10,12,18,6,8,9,16,0
18,17,10,21,3,10,15,16,15,12,0
15,11,21,13,7,10,6,8,20,10,0
10,13,23,14,5,8,9,6,30,13,0
9,10,5,3,8,6,6,8,18,8,0
3,8,9,1,3,11,1,4,11,1,0
8,10,12,6,4,4,6,2,15,7,0
5,11,10,28,17,12,8,23,5,0,0
6,10,7,7,2,10,4,6,14,15,0
9,11,10,20,13,6,16,23,16,4,0
4,10,4,5,6,11,3,7,18,12,0
18,14,32,28,20,8,16,19,11,13,0
14,11,9,13,13,12,6,1,10,20,0
5,5,7,33,15,1,7,16,1,4,0
13,10,9,15,12,13,8,2,8,10,0
6,5,13,20,13,3,10,14,0,3,0
14,19,2,13,8,16,6,4,11,6,0
18,17,10,20,13,11,7,6,13,9,0
8,7,11,18,18,3,4,17,0,8,0
16,21,14,19,5,13,10,0,9,13,0
13,15,11,24,7,13,11,3,9,15,0
18,14,10,19,10,8,8,4,12,7,0
11,4,14,26,13,2,9,18,2,3,0
13,12,8,26,7,9,11,7,11,18,0
6,2,20,24,13,1,7,24,1,6,0
9,6,10,19,9,8,5,10,22,9,0
14,11,9,9,5,10,19,14,21,15,0
10,19,14,27,10,14,14,17,23,6,0
17,22,14,32,12,23,15,28,12,14,0
6,4,7,18,14,7,5,32,9,3,0
6,4,6,8,5,2,5,12,16,3,0
6,7,12,8,6,4,5,12,25,4,0
9,13,12,9,2,15,9,9,17,24,0
19,22,15,63,23,11,15,49,6,21,0
11,9,18,32,7,12,17,15,12,14,0
18,28,25,53,15,21,15,38,16,31,0
20,24,21,17,11,10,20,21,15,7,0
12,19,15,19,10,11,13,21,21,11,0
8,18,14,38,14,11,12,28,10,5,0
6,10,8,14,0,13,3,16,12,2,0
5,1,11,17,5,5,3,14,14,0,0
12,4,6,24,8,3,11,6,20,1,0
6,6,7,28,8,11,6,18,17,0,0
5,3,11,26,18,7,7,14,16,0,0
4,2,12,21,9,11,5,10,19,1,0
8,16,13,22,4,13,13,7,15,9,0
2,3,2,8,11,6,2,9,20,0,0
6,4,3,17,14,5,6,2,20,3,0
5,5,9,26,17,8,5,8,22,2,0
9,3,6,28,11,7,6,15,19,2,0
3,16,7,28,11,6,6,15,20,3,0
4,3,7,21,6,8,10,13,20,0,0
5,4,8,20,8,8,6,8,16,8,0
4,2,10,14,10,7,17,10,19,1,0
23,27,17,22,13,18,18,24,21,18,0
11,28,15,19,7,27,12,12,15,5,0
12,16,8,18,4,11,8,15,15,7,0
5,9,7,3,4,12,9,5,9,1,0
10,20,26,14,8,17,8,24,18,5,0
7,8,20,24,15,15,10,21,14,3,0
21,24,22,34,13,16,20,37,21,5,0
8,16,18,25,7,9,7,6,13,3,0
5,11,23,24,3,8,4,17,16,6,0
3,13,27,25,7,11,12,15,14,10,0
16,27,16,41,16,13,9,30,12,0,0
7,14,22,18,0,9,9,6,17,8,0
10,11,15,15,1,4,10,13,27,2,0
3,16,23,26,1,15,5,5,30,4,0
11,15,20,19,15,10,8,13,20,4,0
12,10,16,29,14,14,13,19,20,3,0
15,5,11,12,7,9,9,12,17,7,0
15,7,8,11,6,13,15,13,19,3,0
9,6,6,7,6,5,5,15,20,5,0
15,9,3,9,7,6,11,12,18,1,0
9,10,6,4,2,8,3,11,18,4,0
7,12,20,11,9,11,9,7,20,1,0
12,9,12,13,7,5,8,8,26,1,0
5,11,11,9,8,7,6,13,13,0,0
8,12,16,12,9,14,11,9,24,2,0
10,15,10,13,9,12,4,5,21,3,0
8,13,12,8,7,9,6,8,20,1,0
11,16,15,8,6,14,11,7,21,4,0
4,15,7,9,2,19,11,10,27,3,0
6,11,8,9,2,9,5,10,18,0,0
15,12,17,10,3,9,7,10,21,2,0
6,9,14,8,3,7,4,8,21,6,0
13,13,14,7,3,17,3,2,16,0,0
14,6,15,12,5,9,9,3,26,0,0
7,12,23,7,4,15,2,8,20,2,0
6,11,13,13,5,16,7,13,23,4,0
12,9,10,2,3,11,5,8,12,0,0
10,13,18,15,5,5,7,6,20,9,0
8,11,13,15,1,10,13,8,16,4,0
10,11,6,17,4,6,10,18,23,4,0
10,10,25,13,9,13,16,15,15,13,0
14,15,23,16,3,14,21,18,20,11,0
4,6,15,12,6,9,7,14,18,1,0
6,6,3,4,7,9,5,12,23,1,0
9,19,6,11,3,11,11,5,24,5,0
4,17,8,24,6,13,10,4,15,4,0
8,12,13,15,4,6,9,12,12,10,0
7,8,11,13,5,11,6,12,16,1,0
4,5,12,4,2,5,5,4,19,11,0
13,8,20,18,15,7,5,34,8,10,0
8,13,4,5,3,12,7,10,9,4,0
13,13,15,11,1,13,7,8,6,14,0
18,14,11,21,3,17,11,21,4,23,0
16,8,13,35,7,8,12,16,13,1,0
18,9,10,17,8,11,10,21,14,3,0
6,2,8,13,10,8,6,18,22,1,0
21,12,20,24,10,17,20,28,14,14,0
7,10,12,18,8,8,10,9,14,7,0
3,15,13,14,5,12,3,4,11,7,0
18,13,14,39,15,15,18,27,24,10,0
9,8,16,27,15,11,15,15,12,3,0
14,18,24,19,3,11,10,13,24,7,0
13,15,19,18,3,7,7,11,16,0,0
6,7,24,30,11,7,11,17,12,5,0
8,30,11,32,19,10,6,35,5,11,0
9,13,21,21,7,10,12,16,2,8,0
13,5,5,22,10,8,11,16,10,5,0
7,8,15,10,2,6,8,3,22,4,0
4,8,17,13,2,8,9,5,21,6,0
7,13,11,20,12,12,11,17,10,12,0
12,9,21,33,1,6,16,27,28,2,0
8,22,9,13,3,14,11,10,25,7,0
12,10,11,17,11,20,9,16,22,2,0
20,24,25,34,12,13,12,27,15,7,0
20,21,22,47,17,7,19,21,35,11,0
13,20,19,10,8,13,12,7,21,15,0
8,17,19,19,12,14,6,19,17,7,0
9,33,21,18,10,11,8,14,31,6,0
16,30,11,28,18,20,11,16,27,11,0
7,9,9,17,7,12,4,16,20,3,0
10,11,19,12,0,5,9,2,19,1,0
7,12,4,9,7,8,7,6,19,5,0
11,16,21,26,5,14,17,17,15,4,0
7,7,1,15,4,5,6,10,21,1,0
11,10,16,18,5,4,4,12,16,5,0
6,8,3,24,7,12,10,17,25,5,0
15,11,19,25,6,11,9,15,21,5,0
8,18,20,10,7,14,12,9,25,7,0
11,15,17,6,2,7,5,12,21,19,0
19,7,22,27,9,5,12,17,21,2,0
12,23,14,14,7,14,10,12,18,11,0
10,15,8,38,15,18,18,21,14,20,0
12,17,10,23,6,8,15,9,10,15,0
15,9,17,17,7,9,5,11,22,1,0
24,14,26,25,8,3,13,13,8,12,0
14,7,14,19,0,9,12,11,9,11,0
12,18,9,31,11,20,15,28,16,18,0
23,13,22,34,9,5,11,17,8,9,0
16,8,19,21,2,7,10,8,12,10,0
14,16,8,34,15,18,18,28,15,15,0
7,4,18,16,7,10,6,12,11,10,0
10,7,4,22,7,10,5,8,18,7,0
10,15,9,10,6,10,12,8,18,6,0
13,10,23,24,2,6,13,12,23,8,0
13,18,9,25,11,17,14,45,31,10,0
14,17,19,25,8,9,14,25,19,8,0
13,14,14,29,17,10,14,19,16,5,0
10,21,19,19,17,15,11,24,21,11,0
9,15,14,20,11,15,18,16,26,9,0
6,11,18,20,10,10,9,13,4,22,0
5,20,9,14,7,10,10,7,27,4,0
13,26,17,24,17,10,15,31,28,16,0
10,10,12,13,6,12,10,12,26,1,0
5,9,13,6,3,6,8,5,24,3,0
9,8,20,6,3,7,9,4,23,2,0
5,15,8,8,4,9,7,3,28,2,0
9,10,8,19,7,8,9,8,17,4,0
7,1,25,11,4,11,6,6,20,3,0
6,9,13,4,2,7,8,5,19,0,0
7,16,8,8,7,12,12,12,27,1,0
12,23,6,13,6,8,18,7,30,2,0
7,21,12,11,3,13,15,7,16,6,0
9,11,19,15,8,6,9,10,21,0,0
15,13,17,15,10,12,18,13,24,8,0
11,10,10,13,6,6,10,11,41,1,0
4,15,18,29,10,11,5,28,2,7,0
15,12,15,33,8,12,21,20,25,7,0
5,6,25,20,7,5,11,15,14,1,0
20,12,15,20,9,11,13,17,24,11,0
8,11,13,21,8,8,4,19,13,2,0
8,20,12,7,6,11,17,7,28,4,0
8,13,19,11,3,15,10,10,11,13,0
7,13,14,25,22,14,10,27,3,8,0
19,20,18,28,23,6,8,22,10,11,0
7,12,28,27,5,8,12,23,31,11,0
4,9,14,31,3,12,8,10,12,4,0
13,16,11,19,19,8,16,16,11,20,0
4,10,12,16,5,7,6,15,15,3,0
20,15,11,34,12,14,7,25,22,5,0
14,5,11,13,7,7,15,5,23,11,0
19,15,24,20,14,6,15,14,16,6,0
8,11,15,22,19,15,21,21,28,7,0
12,14,18,43,4,7,6,10,16,8,0
20,10,23,13,12,13,11,26,18,16,0
7,6,17,11,4,7,7,3,12,6,0
11,20,22,19,10,17,16,16,17,23,0
13,6,27,29,7,11,8,7,14,25,0
5,17,8,19,3,23,6,21,5,9,0
16,19,12,22,7,5,7,12,32,4,0
27,18,14,43,5,9,32,30,28,22,0
16,21,16,34,13,8,13,24,23,11,0
15,12,22,11,2,14,12,10,17,24,0
15,11,18,20,10,12,12,14,24,13,0
8,8,9,23,5,11,7,10,14,13,0
11,13,18,13,4,11,8,9,17,10,0
7,13,10,13,9,12,11,11,16,3,0
8,11,21,17,24,11,8,8,20,12,0
11,15,5,34,20,12,6,48,14,25,0
19,18,22,29,16,13,15,28,12,13,0
9,6,28,23,6,9,9,13,12,13,0
25,23,15,32,15,17,17,24,22,7,0
15,31,11,37,17,18,18,40,15,12,0
6,9,15,14,12,8,12,20,26,2,0
11,16,26,24,14,13,11,25,18,3,0
10,20,12,28,3,15,11,15,21,8,0
13,15,20,20,23,19,12,43,10,9,0
25,11,26,16,7,13,15,19,17,6,0
24,23,12,21,4,12,19,11,31,9,0
11,11,13,16,11,3,9,12,19,5,0
22,18,11,19,7,18,7,15,16,13,0
9,20,23,32,18,24,15,16,16,9,0
6,11,18,23,6,7,11,18,10,20,0
15,21,24,41,20,8,13,41,5,6,0
9,12,20,31,6,11,9,13,15,10,0
3,10,25,23,6,5,9,17,21,5,0
22,15,24,24,7,9,13,20,18,2,0
22,13,13,16,11,8,12,19,30,5,0
23,7,14,42,6,7,12,23,23,10,0
4,14,13,12,9,12,11,13,19,8,0
16,20,12,27,13,18,9,19,13,9,0
10,16,19,20,13,9,10,13,10,12,0
19,14,9,12,9,6,11,15,19,5,0
8,16,17,15,5,7,8,12,10,5,0
7,23,20,22,10,10,7,15,9,25,0
10,14,23,24,12,14,17,21,11,24,0
13,6,13,24,5,11,18,20,18,6,0
13,24,26,19,14,19,8,15,21,10,0
11,18,18,29,9,19,11,22,15,1,0
11,17,21,25,8,13,14,17,27,8,0
14,20,24,37,18,6,9,25,14,4,0
8,9,6,17,10,7,12,20,11,10,0
12,11,21,18,5,13,11,17,19,9,0
9,15,6,18,2,7,9,8,18,12,0
9,11,15,20,17,5,8,20,23,2,0
12,17,9,21,9,13,11,13,8,3,0
15,32,4,15,7,13,18,8,22,15,0
14,8,11,26,4,10,9,12,25,3,0
11,18,7,45,17,15,11,23,13,6,0
23,18,10,37,22,9,12,32,21,10,0
10,13,17,19,8,11,14,5,22,4,0
10,11,20,18,5,10,18,10,18,12,0
13,11,15,18,7,9,11,12,18,6,0
11,13,13,12,8,7,12,11,21,7,0
16,16,29,23,9,7,15,21,12,14,0
8,23,18,27,14,12,13,23,15,8,0
7,15,13,20,13,7,9,21,11,4,0
12,2,22,22,13,5,9,26,16,5,0
16,9,23,29,21,8,13,18,28,5,0
7,8,18,12,13,10,7,6,14,19,0
14,11,19,17,6,16,6,11,11,9,0
7,23,17,7,6,4,3,16,26,11,0
19,10,9,26,7,13,12,14,17,10,0
7,10,15,14,7,10,13,16,17,8,0
15,16,9,17,5,14,7,9,8,5,0
18,20,10,40,9,15,18,36,19,10,0
11,8,19,17,11,17,12,27,22,14,0
10,14,13,45,17,9,18,36,18,16,0
6,18,13,26,5,12,12,13,6,13,0
16,25,24,38,14,10,16,21,22,3,0
6,9,14,17,9,10,6,24,23,3,0
17,9,14,51,12,17,15,50,9,1,0
17,12,8,24,13,6,16,20,23,4,0
7,20,23,46,6,3,14,28,18,16,0
12,11,17,16,7,5,10,4,22,3,0
19,20,16,41,11,10,18,16,23,14,0
17,19,16,26,6,12,15,25,30,12,0
14,28,11,40,6,14,17,16,29,13,0
18,25,5,51,9,12,13,39,9,7,0
12,26,15,15,6,14,11,20,12,12,0
16,9,9,16,3,10,13,22,16,9,0
12,12,28,27,17,5,12,32,16,16,0
19,14,22,32,13,15,12,30,9,4,0
17,9,10,27,8,6,17,16,27,7,0
15,15,24,35,16,10,8,35,18,4,0
18,4,25,19,6,4,19,18,28,12,0
13,10,14,20,2,13,23,13,22,16,0
9,13,11,14,7,14,4,10,4,8,0
6,17,13,17,5,12,6,9,13,10,0
2,10,12,13,2,6,6,1,26,3,0
5,14,6,10,8,8,9,5,16,3,0
6,14,14,6,6,11,6,8,25,9,0
7,5,13,6,5,6,9,3,23,2,0
5,13,15,7,2,13,12,2,21,1,0
7,17,13,9,3,11,10,3,23,0,0
13,13,9,10,0,20,14,1,21,5,0
8,11,12,13,4,8,7,7,18,2,0
5,12,6,2,3,14,8,3,21,6,0
11,20,9,8,4,13,4,9,17,5,0
10,10,17,16,3,14,12,12,25,4,0
10,21,13,18,5,10,9,12,16,2,0
7,17,25,13,1,7,4,22,17,8,0
18,8,21,15,12,15,10,17,22,9,0
8,4,14,9,17,4,9,14,21,7,0
10,12,6,35,11,10,10,23,12,6,0
18,8,26,26,10,7,12,19,28,4,0
9,11,19,7,12,7,17,23,13,5,0
5,6,24,7,1,6,8,8,24,11,0
9,12,16,12,5,5,8,9,26,4,0
19,12,14,17,10,6,15,11,25,6,0
10,14,10,8,3,11,6,13,19,3,0
9,16,29,32,12,15,11,24,16,11,0
8,7,19,8,3,12,6,3,15,4,0
9,28,16,6,4,9,8,4,13,11,0
21,7,9,11,8,8,24,15,30,10,0
19,17,21,19,4,9,8,5,23,11,0
16,14,15,23,7,13,22,15,23,10,0
11,16,22,26,17,15,12,19,19,3,0
13,22,13,28,9,9,23,13,9,17,0
9,11,15,17,7,6,9,13,21,7,0
12,11,21,21,8,6,13,18,16,5,0
6,39,22,30,32,9,5,27,4,5,0
10,29,7,31,7,17,7,32,8,9,0
9,23,1,28,19,19,12,33,7,7,0
10,18,15,24,17,24,12,15,13,13,0
20,6,29,19,5,11,13,13,26,6,0
6,1,14,26,4,14,8,18,21,2,0
14,16,15,21,13,2,15,15,15,6,0
3,11,5,6,2,14,5,7,8,2,0
4,2,19,30,18,5,6,26,0,11,0
4,6,19,28,13,4,10,19,19,4,0
5,12,8,17,11,6,9,19,23,6,0
6,12,11,38,10,16,7,32,12,16,0
14,8,34,24,7,9,5,4,15,23,0
13,19,14,35,19,13,13,42,11,10,0
26,14,24,30,14,11,14,25,12,4,0
14,8,25,25,10,10,13,19,11,12,0
8,10,17,23,9,12,7,23,18,5,0
11,20,15,17,2,10,9,10,15,2,0
15,2,20,12,6,8,13,5,15,6,0
7,13,16,10,4,13,1,17,10,3,0
8,14,20,16,5,17,10,18,23,11,0
11,8,12,19,8,10,13,11,13,11,0
22,42,3,35,15,22,13,34,9,22,0
1,2,9,23,14,9,7,16,28,3,0
8,16,1,15,3,19,4,3,5,2,0
9,16,2,11,3,11,7,4,16,2,0
7,11,5,5,4,14,5,8,18,2,0
12,22,10,14,16,17,12,19,27,7,0
16,35,12,32,10,10,22,32,31,8,0
8,10,18,15,3,11,5,7,18,6,0
15,15,9,13,8,8,15,18,23,10,0
20,17,10,10,4,11,19,17,28,8,0
10,16,24,14,7,4,6,19,26,27,0
5,16,4,5,2,20,2,3,10,2,0
4,5,8,13,10,3,7,13,26,0,0
4,13,9,5,0,6,7,2,11,3,0
4,3,13,13,6,7,4,17,20,3,0
7,26,20,23,24,15,10,28,15,26,0
6,11,10,15,3,8,4,16,8,12,0
3,16,5,18,2,13,11,1,9,6,0
6,12,11,11,5,13,5,12,13,5,0
7,14,5,15,1,11,8,8,11,3,0
7,9,8,17,5,11,5,9,17,4,0
9,17,1,21,2,17,12,7,17,3,0
10,13,6,5,2,10,8,5,18,7,0
11,14,5,21,6,14,9,5,16,18,0
9,8,7,7,8,7,2,12,18,8,0
5,6,23,6,4,9,6,9,24,17,0
7,11,8,9,7,8,4,11,18,5,0
6,8,5,8,3,8,4,10,18,6,0
11,15,2,6,3,7,7,6,17,10,0
8,16,12,9,4,13,6,12,20,18,0
7,12,6,8,3,8,5,8,17,6,0
5,10,6,8,3,9,4,8,15,5,0
8,7,9,5,3,12,7,6,20,4,0
3,16,3,4,0,12,7,2,8,1,0
8,13,8,4,5,11,3,5,19,3,0
10,9,13,12,3,7,7,2,24,3,0
6,10,10,15,3,14,4,6,20,6,0
7,11,2,12,7,11,6,8,11,2,0
5,13,1,8,1,11,5,3,8,2,0
6,15,1,9,5,15,7,2,13,6,0
6,13,1,8,5,16,7,4,10,6,0
12,14,1,10,3,13,8,4,13,3,0
10,19,1,7,6,13,9,4,17,2,0
8,15,15,6,5,16,12,8,20,1,0
9,8,11,7,6,13,7,10,24,14,0
8,8,3,4,9,13,6,11,18,5,0
5,16,4,12,7,11,7,7,16,2,0
8,23,3,12,2,7,10,7,17,5,0
16,17,7,2,1,8,9,7,19,17,0
5,8,14,9,1,10,5,9,15,22,0
8,21,1,17,3,9,10,8,11,4,0
11,19,2,15,2,10,9,7,14,5,0
10,13,9,18,7,11,9,14,13,12,0
6,18,2,9,3,6,13,5,15,6,0
7,19,5,15,5,9,13,10,21,6,0
12,20,5,17,5,17,9,8,22,9,0
8,15,12,14,1,11,11,10,23,19,0
13,16,5,19,6,10,10,9,13,16,0
7,15,24,9,5,15,11,8,24,8,0
4,6,10,8,4,11,2,5,22,3,0
9,21,21,8,1,8,9,4,18,4,0
10,15,7,13,1,8,12,10,17,5,0
12,16,2,10,0,13,12,5,15,4,0
9,7,13,22,2,11,9,10,19,16,0
7,17,8,4,1,13,5,4,8,5,0
4,14,21,11,0,11,6,6,16,9,0
8,8,19,5,4,14,4,10,18,7,0
7,13,7,7,3,12,4,6,12,5,0
12,11,9,6,2,14,4,6,16,5,0
1,9,18,9,2,12,8,5,15,9,0
3,11,7,4,4,11,8,0,5,4,0
9,11,4,2,5,6,1,4,18,3,0
13,8,12,9,2,8,7,8,26,0,0
6,13,3,9,1,17,6,7,15,6,0
12,13,4,7,6,16,9,3,11,9,0
7,11,16,11,3,17,6,6,18,17,0
11,9,7,9,3,7,3,7,15,4,0
3,19,2,3,5,9,6,7,12,7,0
8,9,18,7,5,11,5,8,17,9,0
7,8,12,7,5,7,9,3,22,14,0
6,5,7,9,1,5,6,7,19,7,0
4,10,15,13,5,4,3,8,19,22,0
5,15,3,7,2,9,4,9,19,5,0
9,8,19,3,4,13,6,2,19,10,0
5,9,6,4,3,7,3,3,19,6,0
16,18,1,14,4,13,7,5,11,2,0
8,19,0,5,1,12,7,6,14,3,0
4,23,1,11,2,9,4,6,7,2,0
9,16,23,12,2,18,8,5,14,1,0
4,17,4,8,6,10,9,2,9,6,0
12,13,11,6,8,15,10,10,22,11,0
8,9,4,7,9,15,7,12,13,4,0
11,15,9,9,1,15,5,13,7,2,0
9,10,11,15,4,10,10,9,18,21,0
12,15,1,10,4,7,7,8,6,4,0
11,11,12,20,3,6,12,9,10,11,0
11,21,2,12,4,9,10,11,10,3,0
9,22,9,16,2,9,14,8,15,19,0
9,13,13,11,5,8,9,11,20,12,0
11,7,6,14,5,9,10,16,16,4,0
10,7,13,12,5,13,8,13,23,8,0
2,10,26,6,6,13,8,4,18,7,0
15,14,14,5,3,5,5,9,26,5,0
7,7,19,4,1,17,9,3,15,9,0
14,8,17,7,1,8,9,0,24,8,0
14,11,15,6,8,13,6,17,21,9,0
8,5,14,18,4,4,11,19,21,4,0
10,12,20,25,6,16,9,14,27,5,0
8,10,13,21,5,10,18,15,22,1,0
5,8,0,8,4,18,2,7,13,5,0
5,14,1,8,2,17,3,4,11,6,0
6,9,6,5,6,19,7,5,10,3,0
7,15,18,20,19,15,11,31,21,2,0
6,11,25,20,5,5,2,13,18,1,0
15,16,29,37,5,5,11,33,24,2,0
7,5,19,21,8,2,8,12,25,1,0
13,13,14,12,5,6,19,18,22,15,0
9,18,25,16,22,7,10,26,9,17,0
7,15,21,18,18,7,8,27,8,13,0
6,5,3,19,10,7,4,17,27,0,0
18,23,15,27,14,14,10,29,16,7,0
9,13,14,14,8,10,7,16,28,5,0
9,16,6,8,12,11,9,9,11,3,0
13,6,13,6,2,7,10,3,22,7,0
20,23,15,7,5,17,17,5,21,6,0
6,19,23,14,2,7,13,10,23,8,0
11,13,9,25,6,12,5,13,50,3,0
7,17,16,12,7,19,6,10,28,14,0
2,10,7,5,3,13,2,5,16,8,0
8,6,22,16,8,2,13,19,18,2,0
12,12,6,17,9,9,6,18,17,6,0
9,16,4,12,5,14,13,13,17,5,0
7,23,25,13,4,11,13,17,26,11,0
16,20,21,11,5,9,9,16,20,8,0
8,17,20,23,7,14,6,14,26,2,0
9,12,8,8,6,16,4,10,19,1,0
8,11,11,8,8,10,13,17,21,5,0
5,13,7,8,3,10,7,8,13,7,0
3,7,12,8,5,13,6,9,19,3,0
3,17,12,5,5,9,8,14,12,3,0
14,17,10,12,5,13,8,6,15,6,0
10,7,6,7,6,8,11,6,11,10,0
6,10,8,16,1,11,11,4,13,6,0
4,15,5,15,5,12,7,12,21,6,0
17,12,10,21,7,10,9,21,30,9,0
10,15,10,23,9,17,6,20,17,3,0
3,13,3,10,12,12,6,11,20,0,0
11,8,6,7,6,11,9,10,11,7,0
10,13,12,24,4,6,7,14,27,3,0
5,8,11,6,5,9,11,8,24,10,0
10,12,11,16,10,8,10,13,23,6,0
9,13,5,7,9,11,5,11,17,3,0
4,15,2,10,4,17,7,4,25,12,0
11,9,25,13,10,18,15,14,22,18,0
3,14,2,9,3,8,5,3,10,2,0
4,8,5,12,1,11,3,3,9,2,0
12,11,9,12,7,17,7,3,14,9,0
5,9,2,5,4,11,2,4,9,2,0
8,8,2,8,3,9,4,3,7,2,0
14,13,1,5,2,5,3,2,8,3,0
8,11,2,4,2,8,3,3,9,2,0
12,11,7,5,1,13,7,3,18,9,0
